Time to set up network: 3.6086730957
Node 89 transferred 3 to Node 42 (final dest: Node 76, left: 0)
Node 57 transferred 3 to Node 80 (final dest: Node 77, left: 0)
Node 63 transferred 4 to Node 54 (final dest: Node 97, left: 4)
Node 72 transferred 1 to Node 97 (final dest: Node 24, left: 0)
Node 52 transferred 1 to Node 67 (final dest: Node 65, left: 0)
Node 52 transferred 1 to Node 38 (final dest: Node 80, left: 0)
Node 65 transferred 3 to Node 48 (final dest: Node 79, left: 0)
Node 65 transferred 1 to Node 48 (final dest: Node 26, left: 5)
Node 86 transferred 6 to Node 65 (final dest: Node 25, left: 0)
Node 96 transferred 4 to Node 8 (final dest: Node 39, left: 0)
Node 14 transferred 1 to Node 50 (final dest: Node 50, left: 0)
Node 14 transferred 2 to Node 69 (final dest: Node 31, left: 0)
Node 14 transferred 1 to Node 50 (final dest: Node 50, left: 2)
Node 20 transferred 1 to Node 89 (final dest: Node 35, left: 2)
Node 25 transferred 1 to Node 12 (final dest: Node 74, left: 1)
Node 55 transferred 1 to Node 96 (final dest: Node 33, left: 0)
Node 55 transferred 3 to Node 96 (final dest: Node 94, left: 3)
Node 66 transferred 1 to Node 42 (final dest: Node 75, left: 0)
Node 66 transferred 3 to Node 59 (final dest: Node 59, left: 0)
Node 79 transferred 2 to Node 80 (final dest: Node 1, left: 0)
Node 92 transferred 1 to Node 55 (final dest: Node 77, left: 4)
Iteration: 2
Node 1 transferred 2 to Node 3 (final dest: Node 10, left: 2)
Node 2 transferred 1 to Node 61 (final dest: Node 3, left: 4)
Node 61 transferred 2 to Node 70 (final dest: Node 25, left: 0)
Node 69 transferred 1 to Node 10 (final dest: Node 31, left: 1)
Node 64 transferred 1 to Node 22 (final dest: Node 10, left: 3)
Node 6 transferred 4 to Node 7 (final dest: Node 7, left: 2)
Node 50 transferred 1 to Node 39 (final dest: Node 7, left: 0)
Node 11 transferred 3 to Node 94 (final dest: Node 44, left: 0)
Node 73 transferred 1 to Node 68 (final dest: Node 61, left: 2)
Node 94 transferred 1 to Node 56 (final dest: Node 29, left: 3)
Node 15 transferred 3 to Node 96 (final dest: Node 55, left: 0)
Node 16 transferred 1 to Node 39 (final dest: Node 45, left: 0)
Node 97 transferred 1 to Node 16 (final dest: Node 24, left: 0)
Node 22 transferred 1 to Node 64 (final dest: Node 44, left: 7)
Node 27 transferred 1 to Node 30 (final dest: Node 2, left: 5)
Node 54 transferred 1 to Node 22 (final dest: Node 47, left: 0)
Node 54 transferred 5 to Node 22 (final dest: Node 21, left: 5)
Node 68 transferred 1 to Node 73 (final dest: Node 42, left: 7)
Node 68 transferred 6 to Node 74 (final dest: Node 47, left: 0)
Node 71 transferred 1 to Node 10 (final dest: Node 16, left: 1)
Node 38 transferred 1 to Node 52 (final dest: Node 59, left: 0)
Node 38 transferred 3 to Node 32 (final dest: Node 80, left: 0)
Node 80 transferred 5 to Node 35 (final dest: Node 16, left: 2)
Node 44 transferred 2 to Node 34 (final dest: Node 35, left: 0)
Node 44 transferred 1 to Node 90 (final dest: Node 29, left: 0)
Node 42 transferred 3 to Node 49 (final dest: Node 76, left: 0)
Node 75 transferred 2 to Node 42 (final dest: Node 65, left: 2)
Node 89 transferred 1 to Node 20 (final dest: Node 58, left: 3)
Node 57 transferred 1 to Node 88 (final dest: Node 65, left: 0)
Node 48 transferred 4 to Node 4 (final dest: Node 79, left: 3)
Node 63 transferred 4 to Node 54 (final dest: Node 97, left: 0)
Node 52 transferred 1 to Node 38 (final dest: Node 35, left: 1)
Node 65 transferred 4 to Node 48 (final dest: Node 26, left: 1)
Node 91 transferred 2 to Node 73 (final dest: Node 58, left: 0)
Node 96 transferred 9 to Node 74 (final dest: Node 33, left: 0)
Node 8 transferred 2 to Node 14 (final dest: Node 39, left: 2)
Node 14 transferred 2 to Node 50 (final dest: Node 50, left: 0)
Node 20 transferred 1 to Node 89 (final dest: Node 35, left: 1)
Node 20 transferred 3 to Node 28 (final dest: Node 72, left: 0)
Node 25 transferred 1 to Node 12 (final dest: Node 74, left: 0)
Node 55 transferred 3 to Node 96 (final dest: Node 94, left: 0)
Node 55 transferred 1 to Node 96 (final dest: Node 31, left: 1)
Node 56 transferred 1 to Node 94 (final dest: Node 65, left: 0)
Node 60 transferred 1 to Node 25 (final dest: Node 25, left: 2)
Node 82 transferred 5 to Node 41 (final dest: Node 41, left: 0)
Node 92 transferred 1 to Node 55 (final dest: Node 77, left: 3)
Iteration: 3
Node 1 transferred 2 to Node 3 (final dest: Node 10, left: 0)
Node 1 transferred 2 to Node 78 (final dest: Node 78, left: 0)
Node 2 transferred 1 to Node 61 (final dest: Node 3, left: 3)
Node 69 transferred 1 to Node 10 (final dest: Node 31, left: 0)
Node 70 transferred 2 to Node 3 (final dest: Node 25, left: 0)
Node 34 transferred 4 to Node 1 (final dest: Node 35, left: 0)
Node 64 transferred 1 to Node 22 (final dest: Node 10, left: 2)
Node 6 transferred 2 to Node 7 (final dest: Node 7, left: 0)
Node 74 transferred 6 to Node 6 (final dest: Node 47, left: 0)
Node 73 transferred 1 to Node 68 (final dest: Node 61, left: 1)
Node 73 transferred 2 to Node 58 (final dest: Node 58, left: 0)
Node 94 transferred 1 to Node 56 (final dest: Node 29, left: 2)
Node 94 transferred 1 to Node 11 (final dest: Node 65, left: 0)
Node 32 transferred 3 to Node 38 (final dest: Node 52, left: 0)
